,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
66,KNN,67.59436411,72.16971964,67.31617647,69.09722097,"['sex', 'cp', 'trestbps']"
67,KNN,51.4538376,54.39444684,65.88235294,59.22587018,"['sex', 'cp', 'chol']"
68,KNN,73.8676307,72.53189864,85.40441176,78.0103138,"['sex', 'cp', 'fbs']"
69,KNN,71.21023359,76.38874769,69.66911765,72.25961357,"['sex', 'cp', 'restecg']"
70,KNN,69.32999629,71.38470564,73.93382353,72.30286962,"['sex', 'cp', 'thalach']"
71,KNN,77.61327401,78.50810739,83.08823529,80.2264859,"['sex', 'cp', 'exang']"
72,KNN,77.92584353,79.45993761,83.08823529,80.43520335,"['sex', 'cp', 'oldpeak']"
73,KNN,77.2269188,87.66529304,68.45588235,76.35257796,"['sex', 'cp', 'slope']"
74,KNN,75.5272525,73.45404018,88.49264706,79.97482261,"['sex', 'cp', 'ca']"
75,KNN,77.51575825,79.37771512,80.47794118,79.31396839,"['sex', 'cp', 'thal']"
76,KNN,52.01928068,54.57055741,65.91911765,59.50444903,"['sex', 'trestbps', 'chol']"
77,KNN,55.3633667,59.66361983,58.16176471,57.92138546,"['sex', 'trestbps', 'fbs']"
78,KNN,57.95476455,60.52856406,65.99264706,62.56391645,"['sex', 'trestbps', 'restecg']"
79,KNN,68.08490916,70.41475681,71.61764706,70.70582675,"['sex', 'trestbps', 'thalach']"
80,KNN,63.01371895,64.69959207,71.54411765,67.57753105,"['sex', 'trestbps', 'exang']"
81,KNN,65.6618465,67.07482722,74.04411765,69.5798743,"['sex', 'trestbps', 'oldpeak']"
82,KNN,62.08045977,65.37214974,66.13970588,65.08884021,"['sex', 'trestbps', 'slope']"
83,KNN,63.00222469,65.20012736,72.16911765,67.87012221,"['sex', 'trestbps', 'ca']"
84,KNN,61.69039674,63.97336452,67.94117647,65.46019627,"['sex', 'trestbps', 'thal']"
85,KNN,51.81015944,55.13449657,65.29411765,59.56869369,"['sex', 'chol', 'fbs']"
86,KNN,51.81015944,55.00949657,65.29411765,59.45032936,"['sex', 'chol', 'restecg']"
87,KNN,66.42825362,68.11432193,73.93382353,70.62099322,"['sex', 'chol', 'thalach']"
88,KNN,51.15424546,54.47273186,64.70588235,58.94232496,"['sex', 'chol', 'exang']"
89,KNN,51.7879125,54.76363067,65.88235294,59.4767538,"['sex', 'chol', 'oldpeak']"
90,KNN,52.13274008,55.06666097,65.88235294,59.67590031,"['sex', 'chol', 'slope']"
91,KNN,52.80014831,55.61004762,67.72058824,60.8684774,"['sex', 'chol', 'ca']"
92,KNN,51.81015944,55.03800534,65.88235294,59.76723058,"['sex', 'chol', 'thal']"
93,KNN,53.80867631,54.20806187,96.47058824,69.21459446,"['sex', 'fbs', 'restecg']"
94,KNN,68.98516871,71.21987047,73.30882353,71.86608801,"['sex', 'fbs', 'thalach']"
95,KNN,67.32925473,64.67852052,91.50735294,75.45489286,"['sex', 'fbs', 'exang']"
96,KNN,73.93437152,74.23607603,81.91176471,77.2975419,"['sex', 'fbs', 'oldpeak']"
97,KNN,59.31479422,58.88046265,93.41911765,71.76843954,"['sex', 'fbs', 'slope']"
98,KNN,75.53726363,76.0419379,83.16176471,78.80796354,"['sex', 'fbs', 'ca']"
99,KNN,74.51427512,75.97056981,78.67647059,76.92750761,"['sex', 'fbs', 'thal']"
100,KNN,69.32999629,71.38470564,73.93382353,72.30286962,"['sex', 'restecg', 'thalach']"
101,KNN,69.93140527,66.54245175,90.91911765,76.69917119,"['sex', 'restecg', 'exang']"
102,KNN,68.96514646,73.72427108,69.19117647,70.72182908,"['sex', 'restecg', 'oldpeak']"
103,KNN,68.25250278,69.87176274,76.25,72.151156,"['sex', 'restecg', 'slope']"
104,KNN,74.54801631,75.55949142,80.69852941,77.34821185,"['sex', 'restecg', 'ca']"
105,KNN,73.24619948,72.91492798,81.72794118,76.73909424,"['sex', 'restecg', 'thal']"
106,KNN,69.34149055,71.13540592,74.55882353,72.49756803,"['sex', 'thalach', 'exang']"
107,KNN,70.01965146,71.65256278,75.18382353,73.09453629,"['sex', 'thalach', 'oldpeak']"
108,KNN,69.65257694,71.82588211,73.93382353,72.51677336,"['sex', 'thalach', 'slope']"
109,KNN,69.35224323,71.13540592,74.55882353,72.5097911,"['sex', 'thalach', 'ca']"
110,KNN,69.67482388,71.52756278,74.55882353,72.71147177,"['sex', 'thalach', 'thal']"
111,KNN,75.53652206,77.67251221,78.23529412,77.48472435,"['sex', 'exang', 'oldpeak']"
112,KNN,71.55431961,70.06302663,86.69117647,77.00747097,"['sex', 'exang', 'slope']"
113,KNN,76.50500556,78.79365079,80.03676471,78.87769399,"['sex', 'exang', 'ca']"
114,KNN,74.16870597,78.22599038,74.44852941,75.55657919,"['sex', 'exang', 'thal']"
115,KNN,71.58880237,72.40534027,78.78676471,74.87586082,"['sex', 'oldpeak', 'slope']"
