,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
6154,Logistic Regression,77.51501669,77.49840145,83.63970588,80.11885452,"['age', 'sex', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope']"
6155,Logistic Regression,78.83982202,78.95363409,84.30147059,81.32340467,"['age', 'sex', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca']"
6156,Logistic Regression,79.26214312,80.13316993,83.125,81.41554415,"['age', 'sex', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'thal']"
6157,Logistic Regression,78.47348906,78.01678215,84.81617647,81.07514982,"['age', 'sex', 'fbs', 'restecg', 'thalach', 'exang', 'slope', 'ca']"
6158,Logistic Regression,76.58175751,77.13640719,81.25,78.89644733,"['age', 'sex', 'fbs', 'restecg', 'thalach', 'exang', 'slope', 'thal']"
6159,Logistic Regression,78.1616611,78.22217922,84.30147059,80.90006383,"['age', 'sex', 'fbs', 'restecg', 'thalach', 'exang', 'ca', 'thal']"
6160,Logistic Regression,76.88209121,77.73054014,81.94852941,79.3920372,"['age', 'sex', 'fbs', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca']"
6161,Logistic Regression,74.94734891,77.3836193,77.64705882,77.11561205,"['age', 'sex', 'fbs', 'restecg', 'thalach', 'oldpeak', 'slope', 'thal']"
6162,Logistic Regression,78.87282165,78.95090526,84.33823529,81.17944405,"['age', 'sex', 'fbs', 'restecg', 'thalach', 'oldpeak', 'ca', 'thal']"
6163,Logistic Regression,78.79532814,79.12811913,84.22794118,81.20041707,"['age', 'sex', 'fbs', 'restecg', 'thalach', 'slope', 'ca', 'thal']"
6164,Logistic Regression,79.80830552,80.78204561,83.56617647,81.91269916,"['age', 'sex', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca']"
6165,Logistic Regression,77.58324064,79.27930045,80.66176471,79.40457246,"['age', 'sex', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'thal']"
6166,Logistic Regression,76.87133852,77.89111705,81.28676471,79.3272084,"['age', 'sex', 'fbs', 'restecg', 'exang', 'oldpeak', 'ca', 'thal']"
6167,Logistic Regression,78.56247683,80.93994649,80.625,80.38690414,"['age', 'sex', 'fbs', 'restecg', 'exang', 'slope', 'ca', 'thal']"
6168,Logistic Regression,76.91583241,79.41853296,80.07352941,78.83530964,"['age', 'sex', 'fbs', 'restecg', 'oldpeak', 'slope', 'ca', 'thal']"
6169,Logistic Regression,78.49499444,78.99492604,83.05147059,80.76345318,"['age', 'sex', 'fbs', 'thalach', 'exang', 'oldpeak', 'slope', 'ca']"
6170,Logistic Regression,77.9495736,79.19000934,81.32352941,79.93451969,"['age', 'sex', 'fbs', 'thalach', 'exang', 'oldpeak', 'slope', 'thal']"
6171,Logistic Regression,81.20763812,81.79325765,84.96323529,83.10160702,"['age', 'sex', 'fbs', 'thalach', 'exang', 'oldpeak', 'ca', 'thal']"
6172,Logistic Regression,79.54171301,80.74912016,83.08823529,81.56107565,"['age', 'sex', 'fbs', 'thalach', 'exang', 'slope', 'ca', 'thal']"
6173,Logistic Regression,78.17315536,79.19521844,82.46323529,80.34161815,"['age', 'sex', 'fbs', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
6174,Logistic Regression,79.18539118,80.74010394,81.83823529,80.98450827,"['age', 'sex', 'fbs', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
6175,Logistic Regression,78.50648869,78.62984668,83.60294118,80.86792293,"['age', 'sex', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca']"
6176,Logistic Regression,77.92806822,78.8687022,81.875,80.0149068,"['age', 'sex', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'thal']"
6177,Logistic Regression,80.20763812,80.48377684,84.92647059,82.49360457,"['age', 'sex', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca', 'thal']"
6178,Logistic Regression,79.19688543,80.37629613,82.46323529,81.17128146,"['age', 'sex', 'restecg', 'thalach', 'exang', 'slope', 'ca', 'thal']"
6179,Logistic Regression,78.89506859,79.62893612,83.125,81.01887573,"['age', 'sex', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
6180,Logistic Regression,77.85057471,79.12260289,81.80147059,80.12106261,"['age', 'sex', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
6181,Logistic Regression,80.54097145,81.7368851,83.71323529,82.51517547,"['age', 'sex', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
6182,Logistic Regression,76.57879125,76.42251462,82.53676471,79.09077681,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang']"
6183,Logistic Regression,78.5925102,77.97844991,85.55147059,81.22766102,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'oldpeak']"
6184,Logistic Regression,74.28846867,74.66674038,80.07352941,77.03747119,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'slope']"
6185,Logistic Regression,77.54949944,78.45661464,83.05147059,80.21821926,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'ca']"
6186,Logistic Regression,77.49202818,78.04543835,81.76470588,79.66727117,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'thal']"
6187,Logistic Regression,78.63774564,79.38633348,82.61029412,80.65906768,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak']"
6188,Logistic Regression,76.2584353,77.55873753,80.03676471,78.59275506,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'slope']"
6189,Logistic Regression,79.89581016,80.83751044,84.33823529,82.23484279,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'ca']"
6190,Logistic Regression,74.83463107,76.20624478,78.78676471,77.11673963,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'thal']"
6191,Logistic Regression,77.558769,78.83834806,81.83823529,79.71964361,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'oldpeak', 'slope']"
6192,Logistic Regression,79.1616611,80.28071297,83.60294118,81.46870287,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'oldpeak', 'ca']"
6193,Logistic Regression,78.5272525,80.82423137,81.17647059,80.31314478,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'oldpeak', 'thal']"
6194,Logistic Regression,75.89210234,78.26857585,78.125,77.96357243,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'slope', 'ca']"
6195,Logistic Regression,79.19466073,81.91984864,80.58823529,80.94541101,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'slope', 'thal']"
6196,Logistic Regression,77.89358547,80.87161531,80.07352941,79.86743979,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'ca', 'thal']"
6197,Logistic Regression,79.26992955,78.08645667,86.80147059,81.99720615,"['age', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak']"
