,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
4253,Decision Tree,72.621802,75.26757032,76.94852941,75.40337386,"['age', 'sex', 'trestbps', 'chol', 'thalach', 'exang', 'thal']"
4254,Decision Tree,71.35520949,72.90172624,75.25735294,73.38620595,"['age', 'sex', 'trestbps', 'chol', 'thalach', 'oldpeak', 'slope']"
4255,Decision Tree,71.20096403,76.47154653,72.64705882,73.47933788,"['age', 'sex', 'trestbps', 'chol', 'thalach', 'oldpeak', 'ca']"
4256,Decision Tree,74.59102707,76.85348784,76.50735294,76.18978409,"['age', 'sex', 'trestbps', 'chol', 'thalach', 'oldpeak', 'thal']"
4257,Decision Tree,70.16648128,75.67670122,68.30882353,70.86706349,"['age', 'sex', 'trestbps', 'chol', 'thalach', 'slope', 'ca']"
4258,Decision Tree,74.55728587,78.81150841,73.97058824,75.80183676,"['age', 'sex', 'trestbps', 'chol', 'thalach', 'slope', 'thal']"
4259,Decision Tree,74.23692992,74.56951255,81.17647059,77.17655805,"['age', 'sex', 'trestbps', 'chol', 'thalach', 'ca', 'thal']"
4260,Decision Tree,70.64404894,69.52435576,83.125,75.42277992,"['age', 'sex', 'trestbps', 'chol', 'exang', 'oldpeak', 'slope']"
4261,Decision Tree,75.88209121,77.6694848,80.58823529,78.57622639,"['age', 'sex', 'trestbps', 'chol', 'exang', 'oldpeak', 'ca']"
4262,Decision Tree,72.30070449,76.30926676,72.20588235,73.65709253,"['age', 'sex', 'trestbps', 'chol', 'exang', 'oldpeak', 'thal']"
4263,Decision Tree,78.60474601,82.23740441,78.30882353,79.90173112,"['age', 'sex', 'trestbps', 'chol', 'exang', 'slope', 'ca']"
4264,Decision Tree,74.28068224,75.44429702,78.23529412,76.52707011,"['age', 'sex', 'trestbps', 'chol', 'exang', 'slope', 'thal']"
4265,Decision Tree,76.91731554,80.28443211,78.30882353,78.08395557,"['age', 'sex', 'trestbps', 'chol', 'exang', 'ca', 'thal']"
