Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
Decision Tree,76.44827586,79.20380424,68.9010989,71.88565115,"['age', 'ca', 'thal']"
Decision Tree,75.45977011,78.01010101,66.59340659,71.18627829,"['sex', 'cp', 'trestbps']"
Decision Tree,72.75862069,71.53783459,69.50549451,69.78811189,"['sex', 'cp', 'chol']"
Decision Tree,74.45977011,78.59445852,64.45054945,69.23116883,"['sex', 'cp', 'fbs']"
Decision Tree,75.81609195,76.83866134,69.50549451,72.33408253,"['sex', 'cp', 'restecg']"
Decision Tree,75.12643678,73.32839709,79.67032967,75.31046559,"['sex', 'cp', 'thalach']"
Decision Tree,77.49425287,79.63190976,69.50549451,73.79019129,"['sex', 'cp', 'exang']"
Decision Tree,76.13793103,73.70972887,75.98901099,74.31396062,"['sex', 'cp', 'oldpeak']"
Decision Tree,75.7816092,73.6300301,78.35164835,74.60042394,"['sex', 'cp', 'slope']"
Decision Tree,76.81609195,75.79136142,74.67032967,73.88380007,"['sex', 'cp', 'ca']"
Decision Tree,78.51724138,75.18931803,80.43956044,77.56855331,"['sex', 'cp', 'thal']"
Decision Tree,57.91954023,55.79007301,46.42857143,47.33735818,"['sex', 'trestbps', 'chol']"
Decision Tree,60.32183908,55.3338757,78.07692308,64.39940363,"['sex', 'trestbps', 'fbs']"
Decision Tree,61.97701149,58.48559121,58.24175824,57.66922486,"['sex', 'trestbps', 'restecg']"
Decision Tree,71.02298851,74.45400433,61.20879121,66.17725753,"['sex', 'trestbps', 'thalach']"
Decision Tree,69.40229885,74.60547786,56.86813187,63.04444444,"['sex', 'trestbps', 'exang']"
Decision Tree,70.73563218,69.12179487,64.94505495,66.16380746,"['sex', 'trestbps', 'oldpeak']"
Decision Tree,71.02298851,71.73003312,64.34065934,66.96319699,"['sex', 'trestbps', 'slope']"
Decision Tree,75.13793103,79.01523477,63.02197802,69.42782033,"['sex', 'trestbps', 'ca']"
Decision Tree,76.12643678,74.69850982,74.56043956,74.13811348,"['sex', 'trestbps', 'thal']"
Decision Tree,57.24137931,61.07215007,34.23076923,40.63778698,"['sex', 'chol', 'fbs']"
Decision Tree,57.57471264,61.49422799,34.23076923,40.76362977,"['sex', 'chol', 'restecg']"
Decision Tree,70.06896552,79.49067599,54.72527473,62.76617659,"['sex', 'chol', 'thalach']"
Decision Tree,69.35632184,78.47763348,49.67032967,59.55186022,"['sex', 'chol', 'exang']"
