,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
7496,SVM,82.48275862,84.16123501,77.91208791,80.24856219,"['age', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'slope', 'ca', 'thal']"
7497,SVM,81.47126437,82.77859151,77.14285714,78.78500914,"['age', 'chol', 'fbs', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
7498,SVM,80.81609195,80.93879731,77.47252747,78.4915192,"['age', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
7499,SVM,82.85057471,83.97656265,78.18681319,80.63512282,"['age', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
7500,SVM,83.17241379,85.73009099,77.25274725,80.5724512,"['age', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
7501,SVM,82.83908046,84.91142191,78.02197802,80.91263653,"['age', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
7502,SVM,77.7816092,80.79888167,69.17582418,73.44980432,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak']"
7503,SVM,77.77011494,78.42540793,71.48351648,74.43437811,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'slope']"
7504,SVM,81.88505747,85.82783883,73.24175824,78.48798891,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'ca']"
7505,SVM,82.86206897,83.6286075,79.06593407,80.43479634,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'thal']"
7506,SVM,77.40229885,78.91741592,71.31868132,73.7178861,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'oldpeak', 'slope']"
7507,SVM,81.52873563,85.03646354,73.73626374,78.44163437,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'oldpeak', 'ca']"
7508,SVM,81.88505747,83.76839827,75.49450549,78.93251653,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'oldpeak', 'thal']"
7509,SVM,81.14942529,84.44059862,73.84615385,77.32061414,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'slope', 'ca']"
7510,SVM,81.47126437,81.68684257,77.30769231,78.9801935,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'slope', 'thal']"
7511,SVM,82.8045977,82.6215745,79.56043956,80.64125277,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'ca', 'thal']"
7512,SVM,76.14942529,75.91178185,72.41758242,73.15491382,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope']"
7513,SVM,81.81609195,85.18696581,75.27472527,79.28798287,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'ca']"
7514,SVM,81.49425287,84.79835197,75.10989011,78.58949068,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'thal']"
7515,SVM,81.17241379,83.7037407,74.72527473,78.22514341,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'slope', 'ca']"
7516,SVM,78.79310345,79.21721261,76.48351648,77.0012224,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'slope', 'thal']"
7517,SVM,82.86206897,82.80702631,79.67032967,81.03634935,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'exang', 'ca', 'thal']"
7518,SVM,81.85057471,82.65351315,76.86813187,79.31469271,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'oldpeak', 'slope', 'ca']"
7519,SVM,79.49425287,79.17582418,76.64835165,77.27988997,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'oldpeak', 'slope', 'thal']"
7520,SVM,82.45977011,82.46996863,79.61538462,80.34653058,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'oldpeak', 'ca', 'thal']"
7521,SVM,81.50574713,82.39367869,78.18681319,79.17532468,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'slope', 'ca', 'thal']"
7522,SVM,78.12643678,81.61693862,68.68131868,74.03309798,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'slope']"
7523,SVM,82.13793103,85.88877789,73.68131868,79.14847021,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'ca']"
7524,SVM,82.52873563,83.40171675,78.9010989,80.43349996,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'thal']"
7525,SVM,83.18390805,86.34771111,77.58241758,80.95212448,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'exang', 'slope', 'ca']"
7526,SVM,81.88505747,81.96352259,78.9010989,79.82350649,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'exang', 'slope', 'thal']"
7527,SVM,83.20689655,82.89194139,81.15384615,81.69686048,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'exang', 'ca', 'thal']"
7528,SVM,82.47126437,86.64980852,75,79.5183628,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'oldpeak', 'slope', 'ca']"
7529,SVM,81.51724138,82.74941725,76.81318681,79.25853227,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'oldpeak', 'slope', 'thal']"
7530,SVM,83.56321839,83.96026196,80.54945055,81.53695519,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'oldpeak', 'ca', 'thal']"
7531,SVM,82.54022989,83.99155012,78.2967033,80.5901141,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'thalach', 'slope', 'ca', 'thal']"
7532,SVM,81.17241379,81.9039343,77.30769231,78.68369838,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'exang', 'oldpeak', 'slope', 'ca']"
7533,SVM,81.49425287,81.15728716,79.56043956,79.85357143,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'exang', 'oldpeak', 'slope', 'thal']"
7534,SVM,84.1954023,85.36929737,79.67032967,82.15921856,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'exang', 'oldpeak', 'ca', 'thal']"
7535,SVM,82.14942529,82.76835664,78.13186813,80.07968787,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'exang', 'slope', 'ca', 'thal']"
7536,SVM,82.47126437,81.9356232,80.16483516,80.78267654,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'oldpeak', 'slope', 'ca', 'thal']"
7537,SVM,76.72413793,78.42147034,70.6043956,73.34094192,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope']"
7538,SVM,82.1954023,87.58007271,73.18681319,78.9211904,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca']"
7539,SVM,82.14942529,84.23076923,77.1978022,79.19445688,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'thal']"
7540,SVM,82.49425287,87.28470433,75.10989011,79.17950326,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'slope', 'ca']"
7541,SVM,81.79310345,83.57925408,78.18681319,79.94137514,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'slope', 'thal']"
7542,SVM,84.16091954,85.36979687,79.50549451,82.12742621,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'ca', 'thal']"
7543,SVM,81.86206897,85.41913968,75.32967033,79.43527466,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca']"
7544,SVM,81.77011494,83.15490065,75.71428571,79.01931402,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'oldpeak', 'slope', 'thal']"
7545,SVM,84.13793103,84.47735598,80.98901099,82.50044209,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'oldpeak', 'ca', 'thal']"
7546,SVM,83.50574713,83.51098901,80.32967033,81.77040125,"['sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'slope', 'ca', 'thal']"
