,Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
6624,Naive Bayes,81.252132,82.24972357,84.85294118,83.1762223,"['sex', 'cp', 'trestbps', 'restecg', 'thalach', 'oldpeak', 'slope', 'thal']"
6625,Naive Bayes,84.432703,84.00608752,89.04411765,86.26704015,"['sex', 'cp', 'trestbps', 'restecg', 'thalach', 'oldpeak', 'ca', 'thal']"
6626,Naive Bayes,82.12087505,82.79678363,85.99264706,83.9708641,"['sex', 'cp', 'trestbps', 'restecg', 'thalach', 'slope', 'ca', 'thal']"
6627,Naive Bayes,79.87356322,80.48344513,83.71323529,81.87023529,"['sex', 'cp', 'trestbps', 'restecg', 'exang', 'oldpeak', 'slope', 'ca']"
6628,Naive Bayes,81.18464961,81.81862745,84.85294118,82.95743193,"['sex', 'cp', 'trestbps', 'restecg', 'exang', 'oldpeak', 'slope', 'thal']"
6629,Naive Bayes,83.1638858,84.94852941,84.88970588,84.75813468,"['sex', 'cp', 'trestbps', 'restecg', 'exang', 'oldpeak', 'ca', 'thal']"
6630,Naive Bayes,81.49647757,83.16710281,84.19117647,83.37159903,"['sex', 'cp', 'trestbps', 'restecg', 'exang', 'slope', 'ca', 'thal']"
6631,Naive Bayes,84.45494994,84.57137943,88.45588235,86.29739224,"['sex', 'cp', 'trestbps', 'restecg', 'oldpeak', 'slope', 'ca', 'thal']"
6632,Naive Bayes,81.23989618,81.62053418,84.96323529,83.08225108,"['sex', 'cp', 'trestbps', 'thalach', 'exang', 'oldpeak', 'slope', 'ca']"
6633,Naive Bayes,81.51872451,82.54332381,84.22794118,83.15939952,"['sex', 'cp', 'trestbps', 'thalach', 'exang', 'oldpeak', 'slope', 'thal']"
6634,Naive Bayes,82.4979607,83.62835397,85.47794118,84.30421181,"['sex', 'cp', 'trestbps', 'thalach', 'exang', 'oldpeak', 'ca', 'thal']"
6635,Naive Bayes,80.85131628,82.4178338,83.63970588,82.74987239,"['sex', 'cp', 'trestbps', 'thalach', 'exang', 'slope', 'ca', 'thal']"
6636,Naive Bayes,82.7982944,82.72610448,87.24264706,84.68577759,"['sex', 'cp', 'trestbps', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
6637,Naive Bayes,81.84130515,83.29337437,84.26470588,83.50431839,"['sex', 'cp', 'trestbps', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
